room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,name,latitude,longitude,last_modified
3436639,17321144,Entire home/apt,,7,105,5,4,1,125,,Brand New Tropical Garden Cottage ,25.719937,-80.299846,11:42.5
2591002,13264533,Entire home/apt,,7,41,5,2,1,130,,Cottage on quiet residential street,25.710068,-80.256844,11:42.5
3047933,15517982,Entire home/apt,,7,176,5,4,1,115,,Tropical Poolside Cottage,25.685775,-80.308996,11:42.5
3984702,20580888,Entire home/apt,,7,3,4,4,0,195,,$129 SPECIAL SONESTA GROVE STUDIO W KITCHENETTE!,25.727672,-80.241552,11:35.0
12123845,6213978,Entire home/apt,,7,0,0,4,2,180,,Modern Condo in Coconut Grove,25.728948,-80.241861,11:33.8
19021575,132339284,Entire home/apt,,7,0,0,8,4,400,,Fantastic old Spanish Style Luxury Home,25.737983,-80.223433,11:30.6
12761604,58361319,Entire home/apt,,7,1,0,3,2,150,,Adorable Apartment Walk everywhere,25.726181,-80.249096,11:27.5
13327612,75398849,Entire home/apt,,7,12,4.5,4,1,109,,Upscale One-Bedroom Suite at The Mutiny Hotel,25.727829,-80.240996,11:27.5
12682887,68921324,Entire home/apt,,7,1,0,5,4,150,,MIAMI COCONUT GROVE  NICE HOUSE,25.724717,-80.246642,11:25.6
9173348,22135209,Entire home/apt,,6,0,0,4,2,183,,Beautiful 2 bedrooms apt at Doral,25.775084,-80.335513,11:21.3
6207957,29605625,Entire home/apt,,7,5,2.5,6,2,249,,Furnished 2BR Luxury Apt Coral Gables 1,25.731961,-80.261096,11:19.8
17135751,4140161,Entire home/apt,,7,0,0,6,2,299,,Furnished 2 BR Suites in Coral Gables,25.733745,-80.261075,11:18.7
5442540,4140161,Entire home/apt,,7,2,0,4,1,179,,Miami 1BR w/pool and near shopping!,25.733106,-80.260338,11:18.7
5862012,4140161,Entire home/apt,,7,7,4,6,2,250,,Coral Gables -2 BR Furnished Suite,25.731654,-80.260948,11:18.7
5442382,4140161,Entire home/apt,,7,3,5,4,1,175,,Stylish Apartment in Coral Gables,25.732621,-80.259369,11:15.8
16057228,103186385,Entire home/apt,,7,0,0,7,4,862,,Architectural Masterpiece,25.732974,-80.26497,11:15.7
9254804,48081281,Entire home/apt,,6,1,0,6,3,210,,Coral Gables Single Family Home,25.757424,-80.269176,11:13.0
14295962,4140161,Entire home/apt,,7,11,4.5,6,2,299,,Fully Furnished 2BR Suite Walk to Merrick Park,25.733055,-80.260949,11:13.0
1696865,4606619,Entire home/apt,,7,5,4.5,6,3,107,,CORAL WAY | 3 BEDROOM | 3RD FLR E02,25.748129,-80.247148,11:09.3
1708272,4161651,Entire home/apt,,10,20,5,2,1,110,,Lovely Private Guest House,25.741679,-80.33123,11:06.6
7616594,34826749,Entire home/apt,,7,0,0,12,3,650,,JUNGLE COMPOUND,25.723303,-80.251547,10:55.7
16298100,34826749,Entire home/apt,,7,0,0,6,2,275,,Miami Teak Zen Sanctuary & Garden,25.724775,-80.251319,10:53.3
5760181,7528846,Entire home/apt,,7,0,0,6,2,450,,Furnished Contemporary Modern TH,25.732307,-80.245947,10:51.8
3977295,20580888,Entire home/apt,,7,4,4,8,2,350,,$199 JUNE SPECIAL- 2 BED @ SONESTA w FREE PARKING!,25.723519,-80.242482,10:51.8
5692260,4140161,Entire home/apt,,7,0,0,4,1,199,,Miami 1BR - Walk to Merrick Park!,25.731478,-80.258949,10:45.7
9031690,44013653,Entire home/apt,,7,5,4,6,2,250,,2 BR Suites in Coral Gables Walk to Miracle Mile,25.733094,-80.2591,10:45.6
16099719,9077680,Entire home/apt,,7,1,0,8,2,230,,TWO LINKED APARTMENTS W/ 2BR/3BA - 2 FREE PARKING,25.727897,-80.24149,10:39.5
5287528,15742143,Entire home/apt,,7,2,0,4,2,375,,Grove Bay Bungalows-2/2-New interiors!,25.729065,-80.24702,09:14.3
2515707,12877815,Entire home/apt,,7,2,0,6,3,255,,3/2 House in heart of Coconut Grove,25.731216,-80.246996,09:13.1
11945630,1785119,Entire home/apt,,7,0,0,5,3,200,,3 bed apt in Central Coconut Grove,25.730041,-80.240591,09:09.4
19080851,27151563,Entire home/apt,,7,0,0,6,4,200,,Modern and Spacious house in Coconut Grove,25.730472,-80.247804,09:08.5
15953509,90929209,Entire home/apt,,7,4,5,4,2,200,,"Your Own Coconut Grove Vacation, Two Bedroom Home",25.730075,-80.247806,09:06.7
7065091,1729165,Entire home/apt,,7,3,4.5,5,3,250,,Design House in Coconut Grove Miami,25.73258,-80.248593,09:02.5
15938042,103230807,Entire home/apt,,7,3,5,4,2,178,,Sonesta  2 br  at Coconut Grove near Brickell,25.726666,-80.241024,08:51.3
13110958,25138314,Entire home/apt,,7,0,0,4,1,155,,"Beautiful 1BR/1BA, steps to Coco Walk and the Bay",25.72782,-80.240811,08:48.3
6557377,20655650,Entire home/apt,,7,3,4.5,2,0,175,,"Condo in coconut Grove,",25.72982,-80.242474,08:45.7
15942985,12243051,Entire home/apt,,7,8,4.5,4,2,169,,Charming 2BR in Coconut Grove,25.731685,-80.236558,08:34.6
11068957,57457965,Entire home/apt,,6,0,0,2,1,150,,Cable + Wifi In Coral Gables NEWNEW,25.7679,-80.255896,02:20.7
12543490,29078317,Entire home/apt,,7,17,4,6,1,125,,Miami Beautiful Apartment,25.7451,-80.243953,56:18.9
7970446,16532678,Entire home/apt,,7,3,4.5,4,2,135,,Florida Home in Coconut Grove,25.728121,-80.246149,56:18.9
2516052,12877815,Entire home/apt,,7,0,0,4,2,120,,Canopy Tree House,25.730265,-80.249352,56:02.1
15988188,24714636,Entire home/apt,,7,2,0,5,2,100,,Recently Updated Coconut Grove 2 Bedroom Townhome,25.73599,-80.241183,55:53.1
16925174,46639412,Entire home/apt,,7,2,0,6,2,150,,Homy Place in Coconut Grove/Miami/Gables/Brickell,25.728956,-80.254098,54:03.9
16972346,29605625,Entire home/apt,,7,0,0,4,0,155,,Cozy 1BR Apt in Coconut Groves by LYX GR4,25.731866,-80.235186,54:02.6
4821228,345885,Entire home/apt,,7,2,0,6,2,269,,Coral Gables 2Bdrm/2Bth and Parking,25.74805,-80.253572,54:02.6
17661459,90058226,Entire home/apt,,7,0,0,9,5,390,,Paradise in the City,25.729096,-80.293757,54:02.6
17729140,115405203,Entire home/apt,,7,0,0,8,5,1000,,Waterfront Mansion in Central Miami,25.711914,-80.250271,54:02.6
11625054,61577109,Entire home/apt,,7,2,0,2,0,165,,Beautiful BIG loft in Coconut Grove,25.728666,-80.245557,54:02.6
5442090,4140161,Entire home/apt,,7,0,0,4,1,225,,Stylish Suite- Walk to Merrick Park,25.732201,-80.25967,54:02.6
17552317,72192544,Entire home/apt,,7,0,0,2,1,159,,Yacht cabin with Amazing views!,25.726943,-80.235846,54:02.5
3095685,15742143,Entire home/apt,,7,0,0,3,1,100,,"Cottage up - Walk to Bay,Village & Marinas!",25.713804,-80.252566,54:02.5
3888877,19987239,Entire home/apt,,7,89,5,4,0,100,,Studio Apartment Dino's Place,25.697257,-80.305141,54:02.5
16406692,107491483,Entire home/apt,,7,13,5,6,3,150,,Centric Charming Miami for Families,25.732044,-80.297922,54:00.5
17205783,87251158,Entire home/apt,,7,1,0,3,0,100,,Freshly Furnished & Modern Unit in Coconut Grove,25.733493,-80.237231,54:00.5
