room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
9211857,1192,46633642,Entire home/apt,,Chicago,,Near North,12,4.5,4,2.0,,559.0,,2017-05-06 03:13:41.990205,41.892173,-87.627502,0101000020E61000002D0B26FE28E855C0E6AF90B932F24440
17861780,1192,122241802,Entire home/apt,,Chicago,,Wrigleyville,0,0.0,6,2.0,,650.0,,2017-05-06 03:13:40.634776,41.950191,-87.655515,0101000020E610000065C22FF5F3E955C00DFAD2DB9FF94440
15219844,1192,46663875,Entire home/apt,,Chicago,,Lake View,3,4.5,4,2.0,,599.0,,2017-05-06 03:13:39.570771,41.938803,-87.653671,0101000020E6100000FED5E3BED5E955C07F315BB22AF84440
8474113,1192,33152384,Entire home/apt,,Chicago,,Noble Square,53,5.0,6,3.0,,525.0,,2017-05-06 03:13:39.567872,41.902272,-87.663463,0101000020E6100000C9C6832D76EA55C05B0C1EA67DF34440
13207526,1192,70042764,Entire home/apt,,Chicago,,Wrigleyville,8,5.0,6,3.0,,400.0,,2017-05-06 03:13:35.448169,41.944907,-87.654502,0101000020E6100000A94A5B5CE3E955C078616BB6F2F84440
16202671,1192,105821354,Entire home/apt,,Chicago,,Near North,0,0.0,2,1.0,,399.0,,2017-05-06 03:13:35.445297,41.890543,-87.628214,0101000020E6100000EB387EA834E855C043572250FDF14440
11888624,1192,46633642,Entire home/apt,,Chicago,,Near North,1,0.0,2,1.0,,429.0,,2017-05-06 03:13:33.998304,41.890262,-87.628512,0101000020E61000003049658A39E855C08F6FEF1AF4F14440
7901480,1192,28713548,Entire home/apt,,Chicago,,Lincoln Park,4,5.0,8,3.0,,394.0,,2017-05-06 03:13:33.989313,41.911575,-87.6474,0101000020E61000008CDB68006FE955C0F46C567DAEF44440
12832601,1192,70042764,Entire home/apt,,Chicago,,Lake View,3,5.0,6,3.0,,400.0,,2017-05-06 03:13:33.984690,41.943115,-87.656262,0101000020E6100000E2E6543200EA55C0FBAE08FEB7F84440
15448910,1192,46633642,Entire home/apt,,Chicago,,Near North,1,0.0,2,0.0,,359.0,,2017-05-06 03:13:33.960642,41.890562,-87.626489,0101000020E61000007193516518E855C0BA8784EFFDF14440
11868315,1192,46633642,Entire home/apt,,Chicago,,Near North,3,4.5,2,1.0,,429.0,,2017-05-06 03:13:32.447142,41.892077,-87.626215,0101000020E6100000F05014E813E855C0C44142942FF24440
18214402,1192,92467320,Entire home/apt,,Chicago,,Near North,0,0.0,5,1.0,,399.0,,2017-05-06 03:13:32.438635,41.898298,-87.635,0101000020E6100000713D0AD7A3E855C0F607CA6DFBF24440
17178213,1192,1139947,Entire home/apt,,Chicago,,West Town,0,0.0,10,5.0,,350.0,,2017-05-06 03:13:32.434703,41.8942,-87.677979,0101000020E6100000FC17080264EB55C0A60A462575F24440
11906101,1192,46633642,Entire home/apt,,Chicago,,Near North,3,5.0,2,1.0,,429.0,,2017-05-06 03:13:32.428532,41.892137,-87.62783,0101000020E6100000A75CE15D2EE855C09946938B31F24440
